price,year,manufacturer,model,condition,fuel,odometer,title_status,transmission,drive,type,paint_color,state,cylinders_num
22590,2010.0,Chevrolet,Chevrolet Silverado 1500,good,gas,71229.0,clean,other,4wd,pickup,blue,al,8.0
39590,2020.0,Chevrolet,Chevrolet Silverado 1500,good,gas,19160.0,clean,other,4wd,pickup,red,al,8.0
15000,2013.0,Ford,Ford F-150,excellent,gas,128000.0,clean,automatic,rwd,truck,black,al,6.0
34590,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,29499.0,clean,other,4wd,pickup,silver,al,6.0
24590,2017.0,Chevrolet,Chevrolet Silverado 1500,good,gas,40784.0,clean,other,4wd,pickup,white,al,6.0
34590,2018.0,Ford,Ford F-150,good,gas,20856.0,clean,other,4wd,pickup,white,al,6.0
38990,2020.0,Ford,Ford F-150,good,gas,12231.0,clean,other,4wd,pickup,Unknown,al,6.0
26990,2016.0,Ford,Ford F-150,good,gas,14230.0,clean,other,4wd,pickup,black,al,6.0
32990,2019.0,Chevrolet,Chevrolet Silverado 1500,good,other,6897.0,clean,other,4wd,pickup,black,al,8.0
29990,2014.0,Chevrolet,Chevrolet Silverado 1500,good,gas,26129.0,clean,other,4wd,pickup,brown,al,8.0
23990,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,41568.0,clean,other,4wd,pickup,white,al,6.0
26990,2014.0,Chevrolet,Chevrolet Silverado 1500,good,gas,63129.0,clean,automatic,4wd,pickup,black,al,6.0
22590,2013.0,Ford,Ford F-150,good,other,14169.0,clean,other,4wd,pickup,silver,al,6.0
37590,2019.0,Ford,Ford F-150,good,gas,8663.0,clean,other,4wd,pickup,Unknown,al,6.0
18590,2017.0,Toyota,Toyota Camry,good,gas,30223.0,clean,other,fwd,sedan,silver,al,4.0
18950,2010.0,Ford,Ford F-150,good,gas,151403.0,clean,automatic,4wd,pickup,black,al,8.0
22950,2014.0,Ford,Ford F-150,excellent,gas,166380.0,clean,automatic,4wd,truck,black,al,8.0
